Unnamed: 0,country,date,position,uri,track,title,artist
8399652,Poland,2017-02-01,53.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8399448,Poland,2017-02-02,49.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8399236,Poland,2017-02-03,37.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8399045,Poland,2017-02-04,46.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8398845,Poland,2017-02-05,46.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8398641,Poland,2017-02-06,42.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8398438,Poland,2017-02-07,39.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8398233,Poland,2017-02-08,34.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8398025,Poland,2017-02-09,26.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8397824,Poland,2017-02-10,25.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8397621,Poland,2017-02-11,22.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8397415,Poland,2017-02-12,16.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8397212,Poland,2017-02-13,13.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8397010,Poland,2017-02-14,11.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8396809,Poland,2017-02-15,10.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8396608,Poland,2017-02-16,9.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8396407,Poland,2017-02-17,8.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8396207,Poland,2017-02-18,8.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8396005,Poland,2017-02-19,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8395804,Poland,2017-02-20,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8395604,Poland,2017-02-21,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8395404,Poland,2017-02-22,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8395204,Poland,2017-02-24,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8395005,Poland,2017-02-25,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8394804,Poland,2017-02-26,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8394604,Poland,2017-02-27,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8394404,Poland,2017-02-28,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8394204,Poland,2017-03-01,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8394004,Poland,2017-03-02,5.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8393814,Poland,2017-03-03,15.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8393619,Poland,2017-03-04,20.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8393413,Poland,2017-03-05,14.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8393213,Poland,2017-03-06,14.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8393009,Poland,2017-03-07,10.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8392806,Poland,2017-03-08,7.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8392606,Poland,2017-03-09,7.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8392406,Poland,2017-03-10,7.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8392206,Poland,2017-03-11,7.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8392006,Poland,2017-03-12,7.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8391806,Poland,2017-03-13,7.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8391606,Poland,2017-03-14,7.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8391405,Poland,2017-03-15,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8391205,Poland,2017-03-16,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8391005,Poland,2017-03-17,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8390805,Poland,2017-03-18,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8390605,Poland,2017-03-19,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8390405,Poland,2017-03-20,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8390205,Poland,2017-03-21,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
8390005,Poland,2017-03-22,6.0,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6," Believer , Imagine Dragons ", Believer , Imagine Dragons 
