Unnamed: 0,country,date,position,uri,track,title,artist
8168107,Poland,2020-04-08,108.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8167903,Poland,2020-04-09,104.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8167649,Poland,2020-04-10,50.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8167458,Poland,2020-04-11,59.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8167262,Poland,2020-04-12,63.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8167069,Poland,2020-04-13,70.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8166872,Poland,2020-04-14,73.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8166671,Poland,2020-04-15,72.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8166467,Poland,2020-04-16,68.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8166281,Poland,2020-04-17,82.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8166093,Poland,2020-04-18,94.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8165887,Poland,2020-04-19,88.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
8165678,Poland,2020-04-20,79.0,https://open.spotify.com/track/0m8cEMeJ5XDjrwEjUdhL0A," Bonsai , Reto, Borixon, dzikakorea, Deemz ", Bonsai ," Reto, Borixon, dzikakorea, Deemz "
