Unnamed: 0,country,date,position,uri,track,title,artist
8358526,Poland,2017-08-30,127.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8358274,Poland,2017-08-31,75.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8357852,Poland,2017-09-02,53.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8357647,Poland,2017-09-03,48.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8357434,Poland,2017-09-04,35.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8357233,Poland,2017-09-05,34.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8357021,Poland,2017-09-06,22.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8356822,Poland,2017-09-07,23.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8356622,Poland,2017-09-08,23.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8356422,Poland,2017-09-09,23.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8356228,Poland,2017-09-10,29.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8356017,Poland,2017-09-11,18.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8355817,Poland,2017-09-12,18.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8355615,Poland,2017-09-13,16.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8355416,Poland,2017-09-14,17.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8355214,Poland,2017-09-15,15.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8355011,Poland,2017-09-16,12.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8354816,Poland,2017-09-17,17.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8354611,Poland,2017-09-18,12.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8354412,Poland,2017-09-19,13.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8354212,Poland,2017-09-20,13.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8354012,Poland,2017-09-21,13.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8353813,Poland,2017-09-22,14.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8353612,Poland,2017-09-23,13.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8353416,Poland,2017-09-24,17.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8353212,Poland,2017-09-25,13.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8353009,Poland,2017-09-26,10.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8352811,Poland,2017-09-27,12.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8352610,Poland,2017-09-28,11.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8352408,Poland,2017-09-29,9.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8352210,Poland,2017-09-30,11.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8352013,Poland,2017-10-01,14.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8351809,Poland,2017-10-02,10.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8351609,Poland,2017-10-03,10.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8351408,Poland,2017-10-04,9.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8351210,Poland,2017-10-05,11.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8351008,Poland,2017-10-06,9.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8350806,Poland,2017-10-07,7.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8350611,Poland,2017-10-08,12.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8350408,Poland,2017-10-09,9.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8350205,Poland,2017-10-10,6.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8350004,Poland,2017-10-11,5.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8349805,Poland,2017-10-12,6.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8349606,Poland,2017-10-13,7.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8349407,Poland,2017-10-14,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8349208,Poland,2017-10-15,9.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8349006,Poland,2017-10-16,7.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8348806,Poland,2017-10-17,7.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8348607,Poland,2017-10-18,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8348407,Poland,2017-10-19,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8348207,Poland,2017-10-20,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8348007,Poland,2017-10-21,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8347807,Poland,2017-10-22,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8347606,Poland,2017-10-23,7.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8347407,Poland,2017-10-24,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8347207,Poland,2017-10-25,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8347008,Poland,2017-10-26,9.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8346807,Poland,2017-10-27,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8346607,Poland,2017-10-28,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8346407,Poland,2017-10-29,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8346207,Poland,2017-10-30,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8346006,Poland,2017-10-31,7.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
8345607,Poland,2017-11-02,8.0,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt," What Lovers Do  , Maroon 5 ", What Lovers Do  , Maroon 5 
