Unnamed: 0,country,date,position,uri,track,title,artist
8156585,Poland,2020-06-05,186.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8156348,Poland,2020-06-06,149.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8156187,Poland,2020-06-07,188.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8155991,Poland,2020-06-08,192.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8155788,Poland,2020-06-09,189.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8155579,Poland,2020-06-10,180.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8155350,Poland,2020-06-11,151.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8155146,Poland,2020-06-12,147.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8154926,Poland,2020-06-13,127.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8154761,Poland,2020-06-14,162.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8154560,Poland,2020-06-15,161.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8154347,Poland,2020-06-16,148.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8154149,Poland,2020-06-17,150.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8153940,Poland,2020-06-18,141.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8153743,Poland,2020-06-19,144.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8153535,Poland,2020-06-20,136.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8153355,Poland,2020-06-21,156.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8153155,Poland,2020-06-22,156.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8152954,Poland,2020-06-23,155.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8152754,Poland,2020-06-24,155.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8152529,Poland,2020-06-25,130.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8152335,Poland,2020-06-26,136.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8152114,Poland,2020-06-27,115.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8151928,Poland,2020-06-28,129.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8151746,Poland,2020-06-29,147.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8151537,Poland,2020-06-30,138.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8151326,Poland,2020-07-01,127.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8151120,Poland,2020-07-02,121.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
8150925,Poland,2020-07-03,126.0,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg," Secrets , Regard, RAYE ", Secrets ," Regard, RAYE "
