Unnamed: 0,country,date,position,uri,track,title,artist
8374801,Poland,2017-06-09,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8374600,Poland,2017-06-10,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8374400,Poland,2017-06-11,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8374200,Poland,2017-06-12,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8374000,Poland,2017-06-13,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8373800,Poland,2017-06-14,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8373601,Poland,2017-06-15,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8373401,Poland,2017-06-16,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8373201,Poland,2017-06-17,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8373001,Poland,2017-06-18,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8372800,Poland,2017-06-19,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8372600,Poland,2017-06-20,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8372400,Poland,2017-06-21,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8372200,Poland,2017-06-22,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8372003,Poland,2017-06-23,4.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8371802,Poland,2017-06-24,3.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8371601,Poland,2017-06-25,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8371401,Poland,2017-06-26,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8371200,Poland,2017-06-27,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8371000,Poland,2017-06-28,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8370800,Poland,2017-06-29,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8370600,Poland,2017-06-30,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8370400,Poland,2017-07-01,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8370200,Poland,2017-07-02,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8370000,Poland,2017-07-03,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8369800,Poland,2017-07-04,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8369600,Poland,2017-07-05,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8369400,Poland,2017-07-06,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8369201,Poland,2017-07-07,2.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8369002,Poland,2017-07-08,3.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8368800,Poland,2017-07-09,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8368600,Poland,2017-07-10,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8368400,Poland,2017-07-11,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
8368200,Poland,2017-07-12,1.0,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M," 2U  , David Guetta ", 2U  , David Guetta 
