Unnamed: 0,country,date,position,uri,track,title,artist
8248824,Poland,2019-03-01,25.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8248623,Poland,2019-03-02,24.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8248414,Poland,2019-03-03,15.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8248213,Poland,2019-03-04,14.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8248009,Poland,2019-03-05,10.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8247809,Poland,2019-03-06,10.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8247609,Poland,2019-03-07,10.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8247409,Poland,2019-03-08,10.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8247206,Poland,2019-03-09,7.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8247006,Poland,2019-03-10,7.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8246805,Poland,2019-03-11,6.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8246605,Poland,2019-03-12,6.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8246405,Poland,2019-03-13,6.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8246205,Poland,2019-03-14,6.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8246008,Poland,2019-03-15,9.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8245806,Poland,2019-03-16,7.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8245606,Poland,2019-03-17,7.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8245404,Poland,2019-03-18,5.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8245204,Poland,2019-03-19,5.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8245006,Poland,2019-03-20,7.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8244804,Poland,2019-03-21,5.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8244609,Poland,2019-03-22,10.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8244409,Poland,2019-03-23,10.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8244210,Poland,2019-03-24,11.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8244006,Poland,2019-03-25,7.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8243805,Poland,2019-03-26,6.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8243605,Poland,2019-03-27,6.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8243406,Poland,2019-03-28,7.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8243214,Poland,2019-03-29,15.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8243015,Poland,2019-03-30,16.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8242816,Poland,2019-03-31,17.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8242615,Poland,2019-04-01,16.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
8242415,Poland,2019-04-02,16.0,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO," Sucker , Jonas Brothers ", Sucker , Jonas Brothers 
