Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,Global,Popu_max,Top10_dummy,Top50_dummy,Cluster
Poland,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw,9084.45,youngblood,5 Seconds of Summer,single,boy band,6734577.0,0.596,0.8540000000000001,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,203418,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,0,10,1.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR,10620.449999999995,glorious,Macklemore - Skylar Grey,single,modern rock,1627011.0,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0,22,0.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf,16189.449999999995,mad love,Sean Paul - David Guetta - Becky G,single,dance pop,3196996.0,0.7929999999999999,0.8240000000000001,2,-3.4760000000000004,1,0.177,0.006,3.29e-06,0.1689999999999999,0.611,98.019,199945,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,0.0,4.0,6.0,1.0,4.0,0.0,2.0,8.0,3.0,0,18,0.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP,22487.65,natural,Imagine Dragons,single,modern rock,30723081.0,0.448,0.612,2,-6.106,1,0.0708,0.216,0.0,0.08,0.213,97.773,189467,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,4.0,5.0,5.0,0,3,1.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv,9369.1,what about us,P!nk,single,dance pop,9614009.0,0.386,0.594,1,-6.186,1,0.0565,0.0254,3.03e-06,0.0873,0.187,113.843,271520,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,0,25,0.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/3sJHkcxojoJD2Ytbo1yLLF,9695.450000000004,two high,Moon Taxi,single,indie pop,151541.0,0.649,0.762,11,-5.153,0,0.0447,0.0852,0.00383,0.118,0.48,107.034,213693,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,35,0.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V,8836.8,physical,Dua Lipa,single,dance pop,20575026.0,0.647,0.8440000000000001,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.96200000000005,193829,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,0,12,0.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,10469.199999999986,you broke me first,Tate McRae,single,pop,879802.0,0.642,0.374,4,-9.386,1,0.0545,0.7859999999999999,0.0,0.0906,0.0799,124.099,169266,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,2.0,0,20,0.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/23jEeXRyrjFbfs2Q8tBwdI,181.0,physical,Dua Lipa - Hwa Sa,single,dance pop,20575026.0,0.6609999999999999,0.873,0,-3.333,1,0.0482,0.0288,0.00164,0.136,0.687,146.94299999999996,193697,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,0,20,0.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,58056.55,roses - imanbek remix,SAINt JHN - Imanbek,single,melodic rap,546592.0,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,0,5,1.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,31083.099999999995,dont start now,Dua Lipa,single,dance pop,20575026.0,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,4.0,0,5,1.0,1.0,english speaking and nordic
Poland,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,13587.099999999997,take you dancing,Jason Derulo,single,dance pop,8406712.0,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,0,14,0.0,1.0,english speaking and nordic
